source,type,value,malware_family,country,tags,confidence,timestamp,pulse_name
threatfox,domain,3yl7mt55.andisheeslami2.xyz,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,url,https://mhsbm.gi/,win.vidar,URL that delivers a malware payload,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress",75,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,url,http://217.60.195.70:8080/x86,elf.mirai,URL that delivers a malware payload,"Mirai,nextjs-rce,payload-host",85,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,ip:port,217.60.195.113:22,elf.redtail,ip:port combination that delivery a malware payload,"cve-2024-4577,Redtail,scp-dist",85,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,url,http://194.238.26.34:8880/r8x4k2m9/stager_linux_amd64,elf.xmrig,URL that delivers a malware payload,"boyzee,stager,TeamTNT",85,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,domain,updates.officehub.works,elf.xmrig,Domain that is used for botnet Command&control (C&C),"boyzee,c2,phoenix-c2",85,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,47.86.190.58:6379,elf.xmrig,ip:port combination that delivery a malware payload,"module-load,Muhstik,redis",85,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,ip:port,209.58.169.220:60137,elf.xmrig,ip:port combination that delivery a malware payload,"Muhstik,redis,slaveof-master",85,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,ip:port,75.119.132.109:80,elf.redtail,ip:port combination that delivery a malware payload,"cve-2024-4577,Redtail",85,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,ip:port,138.124.242.51:2375,elf.redtail,ip:port combination that delivery a malware payload,"docker-api,Redtail",85,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,ip:port,161.35.169.21:2375,elf.redtail,ip:port combination that delivery a malware payload,"docker-api,Redtail",85,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,domain,xtktlprb.rial.bet,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,ip:port,38.47.122.34:8080,win.cobalt_strike,ip:port combination that is used for botnet Command&control (C&C),CobaltStrike,100,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,38.47.122.34:443,win.cobalt_strike,ip:port combination that is used for botnet Command&control (C&C),CobaltStrike,100,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,38.47.122.34:80,win.cobalt_strike,ip:port combination that is used for botnet Command&control (C&C),CobaltStrike,100,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,5.101.81.224:8443,win.purelogs,ip:port combination that is used for botnet Command&control (C&C),PureLogsStealer,75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,domain,1yusfrvk.pishbinibet.bet,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,domain,ithfkpx.amoozeshtagipour.shop,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,url,https://medcompent.com/rec.php,win.darkvision_rat,URL that is used for botnet Command&control (C&C),"DarkVisionRat,RAT",100,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,107.175.246.11:2404,win.remcos,ip:port combination that is used for botnet Command&control (C&C),remcos,75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,31.57.184.55:3001,win.remcos,ip:port combination that is used for botnet Command&control (C&C),remcos,75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,102.220.160.101:2404,win.remcos,ip:port combination that is used for botnet Command&control (C&C),remcos,75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,102.220.160.156:2404,win.remcos,ip:port combination that is used for botnet Command&control (C&C),remcos,75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,domain,uecvehp.amoozeshagazade.shop,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,ip:port,185.89.116.55:8443,win.cobalt_strike,ip:port combination that is used for botnet Command&control (C&C),"c2,erebus-v13,nation-state-hunter,t1055,t1105",86,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,domain,ck444app.net,win.asyncrat,Domain that is used for botnet Command&control (C&C),"asyncrat,Decoy,Microsoft",100,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,93.95.115.186:49384,elf.mirai,ip:port combination that is used for botnet Command&control (C&C),"c2,Mirai",100,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,url,https://mylovedomen.asia/,unknown,URL that delivers a malware payload,ClickFix,90,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,ip:port,66.63.170.28:2404,win.remcos,ip:port combination that is used for botnet Command&control (C&C),remcos,75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,domain,firdgorl.restaurantguideaarhus.com,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
